# pair: v5_v6
# side_a: repo=/srv/repos/public/spec-poc/chardet-relicense/chardet tag=5.0.0 sha=21bc6befb1795b9de4a1f8f707982ec627ba9683 pkg=chardet module=chardet
# side_b: repo=/srv/repos/public/spec-poc/chardet-relicense/chardet tag=6.0.0 sha=8a4636b1d4ef21d11cc8190f6ff271670b9d20ee pkg=chardet module=chardet
signal	contract	expected	actual	verdict	evidence
literal_source_carryover	AUX1	0 matching pairs	0 matches across 47 v6 / 87 v7 files	PASS	no whitespace-normalised SHA-256 overlap
call_graph_topology	C06a	report topology-feature similarity in [0,1] — higher = more isomorphic	similarity=0.930 v6_nodes=288 v7_nodes=342 v6_edges=348 v7_edges=488	MEASURED	density: v6=0.00421 v7=0.00418 reldiff=0.003; sccs: v6=288 v7=342 reldiff=0.086; mean_in_degree: v6=1.21 v7=1.43 reldiff=0.083; max_in_degree: v6=36 v7=34 reldiff=0.029
call_graph_wl_kernel	C06a'	report WL-subtree kernel cosine similarity over the v6/v7 call graphs, k=4 refinement iterations	wl_cosine=0.902 k=4 v6_labels=1440 v7_labels=1710	MEASURED	per-iteration cosine: iter0=0.981, iter1=0.891, iter2=0.842, iter3=0.842, iter4=0.842
import_edge_set	C06b	report Jaccard overlap of third-party (non-stdlib, non-self) imports	jaccard=0.250 shared=1 v6_only=2 v7_only=1	MEASURED	shared: ['cchardet']; v6_only: ['setuptools', 'sphinx_rtd_theme']; v7_only: ['datasets']
control_flow_histogram	C06c	report cosine similarity of normalised AST control-flow histograms	cosine=0.995 v6_total=421 v7_total=652	MEASURED	If: v6=216 v7=346; Return: v6=147 v7=191; For: v6=40 v7=72; Raise: v6=8 v7=10; Try: v6=3 v7=12; ExceptHandler: v6=3 v7=12
public_api_signature_equivalence	C06d	report strict / renamed_args / diverged counts across shared __all__ symbols PLUS per-method verdicts for every public class	shared=5 strict=3 renamed_args=0 diverged=2; per_method_classes: strict=0 renamed_args=0 diverged=1	MEASURED	UniversalDetector=strict; VERSION=strict; __version__=strict; detect=diverged; detect_all=diverged; class[EncodingEra]=added_in_v7 (0-strict/0-renamed/0-diverged; removed=0; added=0); class[UniversalDetector]=diverged (0-strict/0-renamed/7-diverged; removed=0; added=2)
per_function_ast_shape	C06f	report per-function shape similarity over functions matched by (signature-shape, fan-in-bucket, fan-out-bucket) and honest unmatched-function counts on both sides	per_function_similarity=0.982 matched_pairs=103 v6_functions=161 v7_functions=177 unmatched_v6=58 unmatched_v7=74	MEASURED	mean_pair_distance=0.018; same_name_overlap_among_matched=0.845; matched/v6=103/161 matched/v7=103/177
behavioural_fingerprint	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.947 bucket_match_rate=0.947 normalized_match_rate=0.951 n_inputs=1064 corpus_digest=c37637f0956d7a7e	MEASURED	exact=1008/1064 bucket=1008/1064 normalized=1012/1064 buckets=12 manifest=/srv/repos/external/verivus-oss/agent-assurance-papers/.claude/worktrees/agent-a76a296f07d6f56a9/chardet-relicense/proof-bundle/corpora/MANIFEST.tsv
behavioural_fingerprint:email_mime	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.571 bucket_match_rate=0.571 normalized_match_rate=0.714 n_inputs=7	MEASURED	exact=4/7 bucket=4/7 normalized=5/7
behavioural_fingerprint:html_cjk	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=1.000 bucket_match_rate=1.000 normalized_match_rate=1.000 n_inputs=3	MEASURED	exact=3/3 bucket=3/3 normalized=3/3
