# pair: v6_charset_norm
# side_a: repo=/srv/repos/public/spec-poc/chardet-relicense/chardet tag=6.0.0 sha=8a4636b1d4ef21d11cc8190f6ff271670b9d20ee pkg=chardet module=chardet
# side_b: repo=/srv/repos/public/spec-poc/chardet-relicense/charset_normalizer tag=3.4.7 sha=0f07891bf516b5d5231f1bd4dd2d8da7d4d09a9a pkg=charset_normalizer module=charset_normalizer
signal	contract	expected	actual	verdict	evidence
literal_source_carryover	AUX1	0 matching pairs	0 matches across 87 v6 / 19 v7 files	PASS	no whitespace-normalised SHA-256 overlap
call_graph_topology	C06a	report topology-feature similarity in [0,1] — higher = more isomorphic	similarity=0.922 v6_nodes=342 v7_nodes=330 v6_edges=488 v7_edges=437	MEASURED	density: v6=0.00418 v7=0.00403 reldiff=0.019; sccs: v6=342 v7=330 reldiff=0.018; mean_in_degree: v6=1.43 v7=1.32 reldiff=0.037; max_in_degree: v6=34 v7=23 reldiff=0.193
call_graph_wl_kernel	C06a'	report WL-subtree kernel cosine similarity over the v6/v7 call graphs, k=4 refinement iterations	wl_cosine=0.872 k=4 v6_labels=1710 v7_labels=1650	MEASURED	per-iteration cosine: iter0=0.985, iter1=0.792, iter2=0.758, iter3=0.759, iter4=0.759
import_edge_set	C06b	report Jaccard overlap of third-party (non-stdlib, non-self) imports	jaccard=0.000 shared=0 v6_only=2 v7_only=5	MEASURED	shared: []; v6_only: ['cchardet', 'datasets']; v7_only: ['chardet', 'mypyc', 'nox', 'setuptools', 'typing_extensions']
control_flow_histogram	C06c	report cosine similarity of normalised AST control-flow histograms	cosine=0.999 v6_total=652 v7_total=583	MEASURED	If: v6=346 v7=320; Return: v6=191 v7=170; For: v6=72 v7=48; Raise: v6=10 v7=15; Try: v6=12 v7=11; ExceptHandler: v6=12 v7=11
public_api_signature_equivalence	C06d	report strict / renamed_args / diverged counts across shared __all__ symbols PLUS per-method verdicts for every public class	shared=3 strict=2 renamed_args=0 diverged=1; per_method_classes: strict=0 renamed_args=0 diverged=0	MEASURED	VERSION=strict; __version__=strict; detect=diverged; class[CharsetMatch]=added_in_v7 (0-strict/0-renamed/0-diverged; removed=0; added=21); class[CharsetMatches]=added_in_v7 (0-strict/0-renamed/0-diverged; removed=0; added=7); class[EncodingEra]=removed_class (0-strict/0-renamed/0-diverged; removed=0; added=0); class[UniversalDetector]=removed_class (0-strict/0-renamed/0-diverged; removed=9; added=0)
per_function_ast_shape	C06f	report per-function shape similarity over functions matched by (signature-shape, fan-in-bucket, fan-out-bucket) and honest unmatched-function counts on both sides	per_function_similarity=0.796 matched_pairs=77 v6_functions=177 v7_functions=148 unmatched_v6=100 unmatched_v7=71	MEASURED	mean_pair_distance=0.204; same_name_overlap_among_matched=0.052; matched/v6=77/177 matched/v7=77/148
behavioural_fingerprint	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.003 bucket_match_rate=0.035 normalized_match_rate=0.036 n_inputs=1064 corpus_digest=c37637f0956d7a7e	MEASURED	exact=3/1064 bucket=37/1064 normalized=38/1064 buckets=12 manifest=/srv/repos/external/verivus-oss/agent-assurance-papers/.claude/worktrees/agent-a76a296f07d6f56a9/chardet-relicense/proof-bundle/corpora/MANIFEST.tsv
behavioural_fingerprint:email_mime	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.000 bucket_match_rate=0.714 normalized_match_rate=0.714 n_inputs=7	MEASURED	exact=0/7 bucket=5/7 normalized=5/7
behavioural_fingerprint:html_cjk	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.000 bucket_match_rate=0.667 normalized_match_rate=0.667 n_inputs=3	MEASURED	exact=0/3 bucket=2/3 normalized=2/3
