# pair: v6_v7
# side_a: repo=/srv/repos/public/spec-poc/chardet-relicense/chardet tag=6.0.0 sha=8a4636b1d4ef21d11cc8190f6ff271670b9d20ee pkg=chardet module=chardet
# side_b: repo=/srv/repos/public/spec-poc/chardet-relicense/chardet tag=7.0.0 sha=4b89d62f8e19e5f67f055ecee105926e6b9a7536 pkg=chardet module=chardet
signal	contract	expected	actual	verdict	evidence
literal_source_carryover	AUX1	0 matching pairs	0 matches across 87 v6 / 33 v7 files	PASS	no whitespace-normalised SHA-256 overlap
call_graph_topology	C06a	report topology-feature similarity in [0,1] — higher = more isomorphic	similarity=0.881 v6_nodes=342 v7_nodes=358 v6_edges=488 v7_edges=659	MEASURED	density: v6=0.00418 v7=0.00516 reldiff=0.104; sccs: v6=342 v7=358 reldiff=0.023; mean_in_degree: v6=1.43 v7=1.84 reldiff=0.127; max_in_degree: v6=34 v7=44 reldiff=0.128
call_graph_wl_kernel	C06a'	report WL-subtree kernel cosine similarity over the v6/v7 call graphs, k=4 refinement iterations	wl_cosine=0.587 k=4 v6_labels=1710 v7_labels=1790	MEASURED	per-iteration cosine: iter0=0.876, iter1=0.294, iter2=0.107, iter3=0.107, iter4=0.107
import_edge_set	C06b	report Jaccard overlap of third-party (non-stdlib, non-self) imports	jaccard=0.667 shared=2 v6_only=0 v7_only=1	MEASURED	shared: ['cchardet', 'datasets']; v6_only: []; v7_only: ['charset_normalizer']
control_flow_histogram	C06c	report cosine similarity of normalised AST control-flow histograms	cosine=0.984 v6_total=652 v7_total=848	MEASURED	If: v6=346 v7=355; Return: v6=191 v7=253; For: v6=72 v7=135; Try: v6=12 v7=33; ExceptHandler: v6=12 v7=32; Raise: v6=10 v7=12
public_api_signature_equivalence	C06d	report strict / renamed_args / diverged counts across shared __all__ symbols PLUS per-method verdicts for every public class	shared=5 strict=3 renamed_args=0 diverged=2; per_method_classes: strict=1 renamed_args=0 diverged=1	MEASURED	EncodingEra=diverged; UniversalDetector=diverged; __version__=strict; detect=strict; detect_all=strict; class[EncodingEra]=strict (0-strict/0-renamed/0-diverged; removed=0; added=0); class[LanguageFilter]=added_in_v7 (0-strict/0-renamed/0-diverged; removed=0; added=0); class[UniversalDetector]=diverged (2-strict/0-renamed/2-diverged; removed=5; added=2)
per_function_ast_shape	C06f	report per-function shape similarity over functions matched by (signature-shape, fan-in-bucket, fan-out-bucket) and honest unmatched-function counts on both sides	per_function_similarity=0.913 matched_pairs=31 v6_functions=177 v7_functions=136 unmatched_v6=146 unmatched_v7=105	MEASURED	mean_pair_distance=0.087; same_name_overlap_among_matched=0.129; matched/v6=31/177 matched/v7=31/136
behavioural_fingerprint	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.000 bucket_match_rate=0.016 normalized_match_rate=0.038 n_inputs=1064 corpus_digest=c37637f0956d7a7e	MEASURED	exact=0/1064 bucket=17/1064 normalized=40/1064 buckets=12 manifest=/srv/repos/external/verivus-oss/agent-assurance-papers/.claude/worktrees/agent-a76a296f07d6f56a9/chardet-relicense/proof-bundle/corpora/MANIFEST.tsv
behavioural_fingerprint:email_mime	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.000 bucket_match_rate=0.143 normalized_match_rate=0.714 n_inputs=7	MEASURED	exact=0/7 bucket=1/7 normalized=5/7
behavioural_fingerprint:html_cjk	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.000 bucket_match_rate=1.000 normalized_match_rate=1.000 n_inputs=3	MEASURED	exact=0/3 bucket=3/3 normalized=3/3
